vid_id,segment1,segment2,segment3,segment4,segment5
UWUU,motorsport:0.331,racing:0.296,sports-car:0.208,car:0.110,dance:0.056
3vUU,pet:0.338,piano:0.234,fish:0.153,food:0.139,concert:0.135
AXUU,piano:0.474,food:0.215,concert:0.174,personal-computer:0.072,car:0.064
aBUU,concert:0.383,mobile-phone:0.214,smartphone:0.178,pet:0.139,food:0.087
ObUU,hairstyle:0.652,disc-jockey:0.165,concert:0.110,afro-textured-hair:0.053,pet:0.021
x0UU,car:0.404,truck:0.203,pickup-truck:0.203,four-wheel-drive:0.137,sport-utility-vehicle:0.053
qnmz,hockey:0.611,hockey-puck:0.142,dance:0.124,skateboarding:0.062,motorsport:0.061
tLmz,hairstyle:0.311,afro-textured-hair:0.245,eye-shadow:0.190,mascara:0.150,lipstick:0.104
3gmz,concert:0.408,food:0.241,car:0.150,dance:0.106,choir:0.094
1Smz,motorsport:0.259,racing:0.232,dance:0.222,sports-car:0.193,car:0.094
Rvmz,food:0.436,cooking:0.275,concert:0.124,dish:0.082,car:0.082
f3mz,fishing:0.309,recreational-fishing:0.213,fish:0.184,outdoor-recreation:0.147,pet:0.146
Pomz,house:0.342,food:0.260,room:0.246,cooking:0.113,living-room:0.039
Yamz,sasuke-uchiha:0.316,concert:0.246,car:0.185,dance:0.140,food:0.113
qemz,house:0.543,room:0.235,dance:0.109,concert:0.079,bedroom:0.034
SSmz,house:0.598,room:0.278,living-room:0.048,hotel:0.039,food:0.038
Spmz,concert:0.527,dance:0.283,food:0.068,car:0.063,pet:0.059
XGmz,concert:0.403,pet:0.190,car:0.137,drum:0.137,drum-kit:0.133
j293,flute:0.395,concert:0.272,orchestra:0.191,piano:0.132,clarinet:0.011
HW93,car:0.637,motorsport:0.104,engine:0.094,train:0.090,racing:0.075
Lf93,outdoor-recreation:0.722,concert:0.105,hiking:0.065,waterfall:0.062,car:0.045
4K93,association-football:0.534,food:0.207,car:0.150,dance:0.059,pet:0.050
FZ93,concert:0.317,association-football:0.285,house:0.189,car:0.120,dance:0.088
uL93,concert:0.464,dance:0.205,wedding:0.204,boxing:0.074,food:0.053
QD93,food:0.345,cooking:0.307,dish:0.244,:0.055,vegetable:0.048
xP93,car:0.795,motorsport:0.090,racing:0.045,sports-car:0.035,driving:0.034
MK93,concert:0.466,dance:0.296,personal-computer:0.129,lego:0.064,camera:0.045
RT93,racing:0.246,pet:0.211,dance:0.207,food:0.195,house:0.141
IJ93,concert:0.464,association-football:0.242,car:0.127,train:0.086,pet:0.080
ho93,association-football:0.327,concert:0.280,motorsport:0.148,car:0.141,acoustic-guitar:0.105
e293,association-football:0.508,food:0.147,car:0.139,concert:0.119,dance:0.088
VV93,mobile-phone:0.442,smartphone:0.423,samsung-galaxy:0.060,iphone:0.040,camera:0.035
hwFi,concert:0.356,food:0.249,car:0.168,pet:0.123,outdoor-recreation:0.105
fqFi,outdoor-recreation:0.592,car:0.139,concert:0.111,fishing:0.096,pet:0.062
ckFi,personal-computer:0.323,laptop:0.270,computer:0.200,tablet-computer:0.171,food:0.036
xsFi,acoustic-guitar:0.927,banjo:0.028,food:0.018,pet:0.015,concert:0.012
ClFi,food:0.277,cooking:0.270,dish:0.263,:0.140,vegetable:0.051
6nFi,car:0.494,sports-car:0.278,engine:0.087,motorsport:0.075,racing:0.067
r8Fi,airplane:0.402,landing:0.316,airport:0.188,concert:0.062,boeing-737:0.031
ItFi,concert:0.831,drum-kit:0.079,drum:0.058,food:0.016,car:0.015
YqFi,boat:0.322,concert:0.300,fishing:0.150,dance:0.138,car:0.091
xTFi,airplane:0.315,helicopter:0.306,model-aircraft:0.137,motorsport:0.136,outdoor-recreation:0.106
jPFi,food:0.466,mobile-phone:0.163,smartphone:0.139,cooking:0.117,tennis:0.115
SwFi,concert:0.398,sasuke-uchiha:0.200,dance:0.175,association-football:0.121,racing:0.105
HAFi,manicure:0.353,drawing:0.268,food:0.161,car:0.115,concert:0.104
KlFi,car:0.306,association-football:0.223,motorsport:0.180,racing:0.158,concert:0.133
bpM1,car:0.534,engine:0.183,sports-car:0.165,sedan:0.072,coupé:0.047
lEM1,car:0.339,airplane:0.329,skateboarding:0.134,concert:0.130,landing:0.068
IsM1,car:0.402,sports-car:0.379,motorsport:0.085,racing:0.077,sedan:0.058
emM1,bee:0.256,insect:0.255,beehive:0.217,concert:0.154,dance:0.117
qsM1,food:0.578,concert:0.157,cooking:0.115,dish:0.088,drink:0.061
IhM1,concert:0.385,pet:0.239,hunting:0.142,outdoor-recreation:0.134,mountain-bike:0.099
X2M1,car:0.420,airplane:0.169,landing:0.149,motorcycle:0.139,racing:0.123
gcM1,car:0.340,bag:0.179,shoe:0.170,concert:0.164,pet:0.147
dCmy,mobile-phone:0.321,concert:0.276,smartphone:0.250,dance:0.089,food:0.065
Vwmy,car:0.536,sports-car:0.227,sedan:0.105,motorsport:0.088,racing:0.045
nOmy,weight-training:0.702,basketball:0.115,boxing:0.102,food:0.050,cooking:0.031
1mmy,association-football:0.337,mobile-phone:0.218,concert:0.193,smartphone:0.184,food:0.069
kRmy,association-football:0.277,concert:0.224,food:0.221,dance:0.182,car:0.096
rkmy,mobile-phone:0.350,smartphone:0.348,samsung-galaxy:0.146,iphone:0.128,concert:0.028
Cymy,hairstyle:0.713,food:0.138,concert:0.081,cooking:0.040,eye-shadow:0.028
Aqmy,concert:0.485,beach:0.222,outdoor-recreation:0.164,fishing:0.073,motorcycle:0.056
Remy,eye-shadow:0.274,mascara:0.269,eye-liner:0.227,lipstick:0.121,rouge:0.109
x4my,fireworks:0.663,concert:0.226,dance:0.050,christmas:0.034,car:0.026
EZmy,pet:0.485,concert:0.200,food:0.186,fishing:0.065,fish:0.063
37my,car:0.536,concert:0.222,drum:0.098,dance:0.074,drum-kit:0.070
MFmy,model-aircraft:0.325,airplane:0.316,concert:0.128,dance:0.124,motorsport:0.108
mxmy,personal-computer:0.252,laptop:0.249,concert:0.215,pet:0.153,computer:0.132
L6my,concert:0.337,sasuke-uchiha:0.324,dance:0.177,car:0.083,association-football:0.079
OAmy,boat:0.449,kayak:0.184,outdoor-recreation:0.159,surfing:0.138,motorsport:0.070
ADmy,pet:0.372,racing:0.241,concert:0.147,motorsport:0.127,association-football:0.113
xGmy,concert:0.329,dance:0.305,drawing:0.220,car:0.075,goku:0.070
i3my,dance:0.375,concert:0.317,car:0.116,racing:0.098,motorsport:0.094
CZUV,food:0.364,dish:0.303,cooking:0.296,concert:0.023,meat:0.013
JvUV,pet:0.370,fish:0.208,food:0.170,fruit:0.130,concert:0.121
yyUV,outdoor-recreation:0.581,concert:0.158,pet:0.112,fishing:0.084,car:0.065
DMUV,motorcycle:0.371,car:0.286,tractor:0.160,concert:0.092,engine:0.092
ZlUV,concert:0.296,association-football:0.223,skateboarding:0.206,pitcher:0.160,pet:0.116
FeUV,mobile-phone:0.308,video-game-console:0.192,smartphone:0.191,concert:0.155,personal-computer:0.155
L9UV,car:0.354,skiing:0.250,snowboarding:0.195,pet:0.156,ski:0.045
eCUV,organ:0.427,pipe-organ:0.351,piano:0.079,concert:0.074,church:0.069
MlUV,concert:0.614,association-football:0.126,food:0.113,pet:0.077,car:0.069
RNUV,personal-computer:0.446,laptop:0.248,computer:0.113,computer-keyboard:0.106,mobile-phone:0.088
TMUV,cycling:0.264,bicycle:0.251,mountain-bike:0.228,mountain-biking:0.179,road-bicycle:0.078
LuUV,concert:0.775,food:0.080,outdoor-recreation:0.061,pet:0.045,association-football:0.039
hZUV,tractor:0.376,car:0.200,plough:0.151,farm:0.150,food:0.123
90vh,association-football:0.762,basketball:0.121,choir:0.043,concert:0.042,slam-dunk:0.033
wivh,association-football:0.794,concert:0.086,pet:0.060,fishing:0.031,car:0.029
9svh,dance:0.502,food:0.255,concert:0.134,pet:0.061,drum-kit:0.048
UVvh,beach:0.446,surfing:0.432,fishing:0.046,pet:0.039,bodyboarding:0.037
66vh,car:0.684,motorcycle:0.171,motorsport:0.058,pickup-truck:0.045,concert:0.042
0nvh,food:0.363,cooking:0.296,dish:0.209,dessert:0.102,:0.030
Bqvh,food:0.312,concert:0.248,room:0.193,house:0.173,car:0.074
6Ovh,car:0.499,sports-car:0.384,motorsport:0.061,disc-jockey:0.030,concert:0.026
5Uvh,food:0.407,cooking:0.327,dish:0.174,dessert:0.054,concert:0.039
Mavh,association-football:0.805,food:0.082,concert:0.079,cooking:0.017,pet:0.016
RZvh,drum:0.482,drum-kit:0.178,dance:0.175,car:0.102,pet:0.064
5Ivh,dance:0.476,marching-band:0.231,parade:0.183,festival:0.080,cycling:0.030
4fvh,car:0.694,sedan:0.116,sports-car:0.113,concert:0.050,sport-utility-vehicle:0.027
ZXvh,orchestra:0.335,concert:0.321,cello:0.268,quartet:0.045,choir:0.032
savh,mobile-phone:0.396,smartphone:0.367,iphone:0.139,samsung-galaxy:0.059,concert:0.039
E5vh,four-wheel-drive:0.312,sport-utility-vehicle:0.247,car:0.190,truck:0.147,pickup-truck:0.103
YJXE,car:0.251,personal-computer:0.235,concert:0.208,mobile-phone:0.153,laptop:0.152
eDXE,motorcycle:0.462,motorcycling:0.306,motorsport:0.121,car:0.079,engine:0.031
9wXE,pet:0.365,concert:0.334,dance:0.123,food:0.114,tree:0.064
2ZXE,drum:0.351,marching-band:0.293,parade:0.172,drum-kit:0.133,dance:0.051
CSXE,concert:0.528,lego:0.182,association-football:0.161,pet:0.065,mobile-phone:0.065
gfXE,car:0.709,sedan:0.136,sport-utility-vehicle:0.068,hatchback:0.049,driving:0.039
jCXE,personal-computer:0.349,laptop:0.288,concert:0.155,computer:0.140,mobile-phone:0.068
OiXE,saxophone:0.379,orchestra:0.197,drum:0.161,trumpet:0.144,concert:0.119
LtXE,concert:0.460,orchestra:0.184,pet:0.182,cello:0.113,saxophone:0.061
FHXE,car:0.405,mobile-phone:0.290,smartphone:0.202,concert:0.079,iphone:0.023
s8XE,skiing:0.468,ski:0.299,snowboarding:0.153,concert:0.061,snowboard:0.019
0VXE,orchestra:0.371,concert:0.299,trumpet:0.194,trombone:0.105,marching-band:0.031
WhXE,association-football:0.449,pet:0.276,car:0.138,food:0.070,cattle:0.067
UQvg,acoustic-guitar:0.449,dance:0.240,car:0.119,wedding:0.106,piano:0.085
CPvg,car:0.612,pickup-truck:0.143,truck:0.130,four-wheel-drive:0.066,motorsport:0.049
TVvg,pet:0.543,association-football:0.294,concert:0.122,dance:0.027,train:0.014
0Fvg,boat:0.335,airplane:0.236,motorsport:0.220,racing:0.138,model-aircraft:0.070
Qnvg,car:0.615,sports-car:0.179,sedan:0.081,motorsport:0.075,racing:0.050
aXvg,pachinko:0.285,racing:0.206,motorsport:0.205,concert:0.175,association-football:0.129
iMvg,pet:0.779,concert:0.082,parrot:0.056,dance:0.045,food:0.038
Aavg,sonic-the-hedgehog:0.290,concert:0.251,car:0.194,drawing:0.153,dance:0.112
N4vg,association-football:0.820,basketball:0.058,dance:0.051,concert:0.038,car:0.032
aJvg,food:0.303,cooking:0.267,dish:0.216,:0.127,vegetable:0.087
k3vg,fishing:0.437,fish:0.215,recreational-fishing:0.178,pet:0.096,boat:0.074
Vgvg,dance:0.350,concert:0.203,food:0.164,pet:0.157,association-football:0.126
zzvg,food:0.368,dish:0.300,cooking:0.283,dessert:0.025,vegetable:0.023
u9vg,parade:0.380,festival:0.234,marching-band:0.206,dance:0.144,choir:0.036
OTXF,airplane:0.339,landing:0.311,airport:0.241,car:0.084,runway:0.026
UfXF,car:0.515,driving:0.384,dance:0.039,sports-car:0.033,motorsport:0.029
HGXF,skiing:0.377,snowboarding:0.309,ski:0.196,snowboard:0.078,car:0.039
utXF,pet:0.688,concert:0.183,dance:0.067,car:0.036,association-football:0.027
WpXF,food:0.323,cooking:0.299,dish:0.273,dessert:0.071,flour:0.035
diXF,car:0.359,food:0.204,association-football:0.188,pet:0.125,dance:0.123
a6XF,house:0.502,room:0.151,car:0.125,pet:0.124,concert:0.098
cyXF,book:0.616,pet:0.120,concert:0.116,food:0.107,dance:0.041
VBXF,concert:0.446,house:0.240,orchestra:0.116,room:0.107,food:0.092
DsXF,food:0.391,pet:0.287,dish:0.115,cooking:0.108,concert:0.099
HXXF,outdoor-recreation:0.326,pet:0.184,motorsport:0.173,concert:0.171,car:0.146
9Sh9,sports-car:0.318,racing:0.292,motorsport:0.235,car:0.122,drifting:0.033
yoh9,food:0.345,cooking:0.301,dish:0.255,dessert:0.056,meat:0.043
MWh9,association-football:0.377,concert:0.170,dance:0.160,car:0.147,racing:0.145
kdh9,skiing:0.296,snowboarding:0.270,car:0.157,four-wheel-drive:0.151,concert:0.126
8Mh9,concert:0.300,dance:0.219,association-football:0.180,food:0.165,mobile-phone:0.137
IIh9,pet:0.590,dressage:0.184,jumping:0.085,concert:0.072,outdoor-recreation:0.069
AFh9,food:0.399,vegetable:0.243,dish:0.127,cooking:0.119,action-figure:0.112
aqh9,underwater-diving:0.290,association-football:0.226,scuba-diving:0.197,personal-computer:0.151,weight-training:0.137
8ah9,pet:0.403,aquarium:0.261,fish:0.244,food:0.058,association-football:0.034
6Eh9,four-wheel-drive:0.369,sport-utility-vehicle:0.282,car:0.146,jeep:0.129,motorsport:0.073
hrh9,airplane:0.345,landing:0.299,airport:0.240,jet-aircraft:0.059,boeing-737:0.057
3ah9,skateboarding:0.487,dance:0.278,skatepark:0.118,kickflip:0.068,concert:0.048
gPh9,car:0.542,association-football:0.175,engine:0.161,motorsport:0.072,driving:0.050
vbh9,pet:0.780,food:0.098,concert:0.083,association-football:0.028,cat:0.011
lvm9,boat:0.652,fishing:0.115,kayak:0.092,outdoor-recreation:0.074,surfing:0.067
Eem9,association-football:0.811,car:0.062,game-controller:0.062,video-game-console:0.045,concert:0.020
Z8m9,car:0.390,driving:0.259,motorsport:0.163,sports-car:0.123,racing:0.065
HJm9,boat:0.619,ship:0.143,car:0.106,house:0.068,food:0.065
TZm9,motorcycle:0.450,motorcycling:0.245,car:0.219,motorsport:0.059,driving:0.027
HFm9,skiing:0.394,snowboarding:0.281,ski:0.208,snowboard:0.063,outdoor-recreation:0.054
K7m9,food:0.258,cooking:0.249,dish:0.237,:0.155,vegetable:0.101
tfm9,concert:0.819,dance:0.089,wedding:0.053,car:0.020,bride:0.019
T6m9,train:0.298,railroad-car:0.298,locomotive:0.256,cargo:0.089,train-station:0.058
5Ym9,concert:0.315,food:0.194,association-football:0.173,fishing:0.159,skateboarding:0.159
zcm9,washing-machine:0.422,washing:0.252,car:0.143,food:0.101,clothes-dryer:0.082
Lqm9,food:0.264,cooking:0.245,dish:0.239,vegetable:0.158,:0.094
gkm9,concert:0.523,cycling:0.158,bicycle:0.144,pet:0.088,racing:0.087
Qwm9,pet:0.720,concert:0.193,food:0.048,cat:0.022,dance:0.017
l8m9,pet:0.884,concert:0.054,dance:0.028,food:0.018,car:0.016
fQm9,food:0.569,cooking:0.138,concert:0.107,car:0.106,dish:0.080
K8PY,airplane:0.450,landing:0.204,jet-aircraft:0.190,concert:0.100,airport:0.056
viPY,motorcycle:0.286,car:0.244,food:0.206,shoe:0.196,concert:0.069
UjPY,lipstick:0.321,eye-shadow:0.250,mascara:0.213,rouge:0.156,eye-liner:0.060
DfPY,acoustic-guitar:0.907,pet:0.029,food:0.028,drum-kit:0.021,piano:0.015
cnPY,motorcycle:0.362,motorcycling:0.188,car:0.173,motorsport:0.163,racing:0.114
tXPY,festival:0.612,parade:0.141,dance:0.108,carnival:0.073,concert:0.066
IWPY,concert:0.446,dance:0.191,car:0.126,truck:0.125,firefighter:0.112
6jPY,motorsport:0.338,car:0.298,racing:0.201,sports-car:0.085,drifting:0.077
DCPY,concert:0.553,fireworks:0.181,food:0.164,orchestra:0.059,car:0.043
kyPY,cooking:0.212,food:0.212,dish:0.212,vegetable:0.184,:0.180
EGUY,car:0.365,racing:0.232,motorsport:0.230,sports-car:0.100,driving:0.073
J2UY,food:0.512,cooking:0.206,dish:0.159,concert:0.092,car:0.030
2jUY,food:0.691,pet:0.108,concert:0.084,cooking:0.072,drink:0.045
OnUY,pet:0.329,fish:0.304,fishing:0.211,underwater-diving:0.102,scuba-diving:0.054
HuUY,fishing:0.392,boat:0.195,recreational-fishing:0.168,pet:0.123,fish:0.122
45UY,food:0.233,cooking:0.214,basketball:0.197,dance:0.179,dish:0.177
SXUY,food:0.490,concert:0.218,car:0.157,mobile-phone:0.087,pet:0.049
yMUY,outdoor-recreation:0.378,beach:0.257,surfing:0.237,fishing:0.084,concert:0.044
hKUY,car:0.519,driving:0.334,motorsport:0.066,sport-utility-vehicle:0.046,sports-car:0.036
WxUY,food:0.530,cooking:0.266,dish:0.139,concert:0.033,car:0.032
6bUY,association-football:0.493,concert:0.186,dance:0.164,drawing:0.080,car:0.076
WaUY,train:0.321,railroad-car:0.303,locomotive:0.274,train-station:0.076,cargo:0.025
rDPZ,mobile-phone:0.253,car:0.192,personal-computer:0.190,television:0.190,smartphone:0.176
EbPZ,car:0.573,tractor:0.267,concert:0.114,truck:0.027,engine:0.018
Q0PZ,car:0.721,concert:0.121,food:0.068,motorsport:0.047,engine:0.044
krPZ,piano:0.419,pet:0.211,car:0.198,concert:0.103,house:0.068
HuPZ,skiing:0.405,snowboarding:0.261,ski:0.147,train:0.101,car:0.087
uTPZ,car:0.522,sedan:0.169,sport-utility-vehicle:0.140,hatchback:0.119,volkswagen:0.050
6VPZ,car:0.577,sedan:0.162,hatchback:0.108,sports-car:0.079,sport-utility-vehicle:0.074
UjPZ,house:0.355,room:0.342,pet:0.107,food:0.104,hairstyle:0.092
QjPZ,skateboarding:0.548,outdoor-recreation:0.166,fishing:0.102,skatepark:0.101,kickflip:0.083
RrPZ,car:0.424,concert:0.237,association-football:0.169,food:0.107,house:0.063
paPZ,car:0.727,driving:0.096,sport-utility-vehicle:0.080,engine:0.053,truck:0.045
LcPZ,wedding:0.326,bride:0.254,dance:0.214,concert:0.123,doll:0.083
crPZ,car:0.286,train:0.275,railroad-car:0.180,locomotive:0.162,concert:0.097
eCPZ,dance:0.395,concert:0.385,car:0.104,choir:0.065,basketball:0.051
18UZ,food:0.448,cooking:0.198,dish:0.188,concert:0.094,car:0.072
LjUZ,cycling:0.301,bicycle:0.300,mountain-bike:0.182,road-bicycle:0.153,mountain-biking:0.063
BQUZ,cooking:0.383,food:0.376,car:0.112,dish:0.084,concert:0.045
QhUZ,church:0.393,concert:0.347,choir:0.102,dance:0.085,orchestra:0.073
ogUZ,drum:0.484,drum-kit:0.433,dance:0.035,concert:0.034,food:0.014
WYUZ,fish:0.354,pet:0.333,aquarium:0.268,reef-aquarium:0.034,underwater-diving:0.012
r0UZ,motorsport:0.300,racing:0.299,sports-car:0.212,car:0.142,drifting:0.047
7KUZ,concert:0.547,dance:0.174,association-football:0.126,doll:0.077,pony:0.076
mwUZ,car:0.352,four-wheel-drive:0.264,truck:0.180,sport-utility-vehicle:0.121,pickup-truck:0.083
GAUZ,eye-shadow:0.303,mascara:0.270,eye-liner:0.187,lipstick:0.135,rouge:0.106
RzUZ,concert:0.326,food:0.308,television:0.184,car:0.096,pet:0.086
L1h8,car:0.402,four-wheel-drive:0.211,truck:0.146,sport-utility-vehicle:0.144,engine:0.096
E5h8,car:0.642,sedan:0.128,sport-utility-vehicle:0.110,hatchback:0.069,driving:0.051
Mth8,car:0.488,concert:0.220,sports-car:0.126,food:0.085,mobile-phone:0.082
e0h8,fishing:0.337,recreational-fishing:0.220,food:0.166,boat:0.144,outdoor-recreation:0.133
9lh8,skiing:0.371,ski:0.263,snowboarding:0.253,outdoor-recreation:0.059,snowboard:0.054
7Ah8,association-football:0.884,car:0.033,disc-jockey:0.029,concert:0.028,rugby-football:0.026
Wuh8,hairstyle:0.756,afro-textured-hair:0.102,concert:0.061,dance:0.059,braid:0.021
YOh8,eye-shadow:0.300,mascara:0.270,eye-liner:0.226,lipstick:0.115,rouge:0.088
WLh8,mobile-phone:0.262,smartphone:0.257,iphone:0.174,personal-computer:0.157,tablet-computer:0.150
AYh8,house:0.413,room:0.258,car:0.139,concert:0.097,dance:0.093
C5h8,house:0.465,room:0.224,concert:0.155,building:0.078,food:0.078
mph8,skateboarding:0.575,skatepark:0.148,dance:0.127,kickflip:0.095,concert:0.055
uah8,food:0.427,concert:0.218,car:0.159,association-football:0.116,dance:0.079
hah8,car:0.617,motorcycle:0.154,motorsport:0.138,food:0.048,concert:0.042
DCh8,manicure:0.734,concert:0.159,hairstyle:0.046,fishing:0.037,action-figure:0.024
Hqh8,concert:0.679,dance:0.123,car:0.091,mobile-phone:0.070,smartphone:0.038
dxh8,motorcycle:0.336,motorcycling:0.323,motorsport:0.174,racing:0.123,cycling:0.044
Ngm8,pet:0.888,concert:0.054,food:0.024,association-football:0.022,cat:0.011
ikm8,shoe:0.371,sneakers:0.304,nike-inc:0.239,acoustic-guitar:0.070,motorcycle:0.015
PIm8,motorcycle:0.342,motorcycling:0.228,cycling:0.155,bicycle:0.146,motorsport:0.129
GAm8,food:0.342,cooking:0.271,dish:0.237,vegetable:0.120,concert:0.030
iIm8,pet:0.587,concert:0.198,food:0.075,dance:0.072,fishing:0.068
1Pm8,sports-car:0.408,car:0.377,dance:0.077,motorsport:0.075,racing:0.062
nym8,car:0.465,truck:0.216,tractor:0.201,concert:0.066,food:0.053
Xrm8,food:0.511,cooking:0.300,dish:0.127,drink:0.042,vegetable:0.020
wZm8,mobile-phone:0.444,smartphone:0.408,iphone:0.070,food:0.046,samsung-galaxy:0.033
XBm8,motorcycle:0.330,motorcycling:0.253,motorsport:0.187,racing:0.174,motocross:0.055
WXm8,food:0.345,cooking:0.256,dish:0.238,meat:0.106,vegetable:0.055
eHm8,weight-training:0.653,barbell:0.141,squat:0.101,dance:0.060,concert:0.046
PLm8,hairstyle:0.334,manicure:0.187,concert:0.185,food:0.161,association-football:0.133
bnu1,outdoor-recreation:0.721,concert:0.113,rock-climbing:0.064,skiing:0.052,car:0.050
gXu1,organ:0.417,piano:0.416,pipe-organ:0.111,pet:0.029,concert:0.027
mbu1,food:0.611,cooking:0.157,dessert:0.096,concert:0.095,shoe:0.040
aIu1,food:0.463,cooking:0.186,dance:0.124,dish:0.116,concert:0.110
C6u1,organ:0.353,piano:0.339,pipe-organ:0.257,concert:0.035,church:0.015
UNu1,cooking:0.228,food:0.227,dish:0.226,:0.168,vegetable:0.151
YI2U,mobile-phone:0.251,concert:0.245,smartphone:0.230,playing-card:0.154,car:0.120
TS2U,car:0.676,concert:0.182,dance:0.056,food:0.049,personal-computer:0.038
is2U,food:0.412,cooking:0.303,dish:0.213,vegetable:0.043,concert:0.029
9Z2U,concert:0.542,dance:0.248,car:0.079,amusement-park:0.069,disc-jockey:0.062
AU2U,food:0.274,dish:0.250,cooking:0.245,vegetable:0.116,:0.115
Wg2U,food:0.450,gardening:0.279,garden:0.119,concert:0.112,cooking:0.040
Br2U,car:0.859,pickup-truck:0.040,concert:0.037,sport-utility-vehicle:0.033,classic-car:0.031
s72U,car:0.814,engine:0.073,concert:0.061,association-football:0.033,driving:0.020
Qh2U,car:0.394,sports-car:0.371,racing:0.102,motorsport:0.097,truck:0.036
pD2U,concert:0.400,smartphone:0.192,mobile-phone:0.180,dance:0.147,iphone:0.081
QE2U,car:0.434,sedan:0.243,sports-car:0.221,hatchback:0.067,bmw:0.034
Kn2U,concert:0.483,association-football:0.236,boxing:0.112,pet:0.096,weight-training:0.074
i02V,concert:0.625,association-football:0.111,goku:0.106,car:0.088,choir:0.070
ol2V,food:0.548,concert:0.172,dish:0.136,cooking:0.088,car:0.056
Xz2V,airplane:0.373,car:0.220,landing:0.201,airport:0.126,jet-aircraft:0.079
152V,food:0.295,cooking:0.278,dish:0.244,:0.119,vegetable:0.064
Rs2V,cycling:0.231,concert:0.222,bicycle:0.221,car:0.200,food:0.126
5Z2V,car:0.527,pickup-truck:0.153,motorsport:0.144,sports-car:0.104,motorcycle:0.071
un2V,car:0.654,motorcycle:0.154,construction:0.071,motorcycling:0.065,concert:0.057
122V,tractor:0.428,motorsport:0.285,car:0.157,racing:0.084,engine:0.046
b52V,cooking:0.261,food:0.255,dish:0.237,concert:0.143,:0.103
252V,mobile-phone:0.318,smartphone:0.311,iphone:0.165,samsung-galaxy:0.109,personal-computer:0.097
